producto,marca,formato,cantidad,precio,supermercado,categoria
Carpaccio de vacuno,Hacendado,Bandeja,110 g,3.75,Mercadona,Carne
Filetes de vacuno añojo para plancha,Hacendado,Bandeja,500 g aprox.,7.6,Mercadona,Carne
Entrecot de vacuno añojo fino para barbacoa o plancha,Hacendado,Bandeja,500 g aprox.,11.1,Mercadona,Carne
Entrecot de vacuno añojo grueso para barbacoa o plancha,Hacendado,Bandeja,380 g aprox.,8.44,Mercadona,Carne
Filetes hígado de vacuno añojo,Hacendado,Bandeja,600 g aprox.,5.52,Mercadona,Carne
Filetes de vacuno añojo para empanar,Hacendado,Bandeja,500 g aprox.,7.55,Mercadona,Carne
Chuletón de vacuno añojo para barbacoa o plancha,Hacendado,Bandeja,550 g aprox.,10.45,Mercadona,Carne
Mascarilla rizos perfectos,Imaqe de Dia,Frasco,300 ml,3.99,Dia,Higiene
Mascarilla plátano,Imaqe de Dia,Frasco,300 ml,2.89,Dia,Higiene
Acondicionador capilar,Noname,Botella,750 ml,1.2,Dia,Higiene
Acondicionador repara y protege,Pantene,Tubo,180 ml,2.99,Dia,Higiene
Mascarilla intensiva nutritiva,Babaria,Bote,400 ml,3.55,Dia,Higiene
Mascarilla repara y protege cabello dañado,Pantene,Frasco,300 ml,4.29,Dia,Higiene
Mascarilla suave y liso anti encrespamiento,Pantene,Frasco,300 ml,4.29,Dia,Higiene
Crema suavizante con keratina cabello seco o dañado,Flex,Botella,650 ml,3.45,Dia,Higiene
Acondicionador bifásico instantáneo hidratación,Anian,Spray,250 ml,2.5,Dia,Higiene
Mascarilla hidra ácido hialurónico,Elvive,Frasco,310 ml,4.5,Dia,Higiene
Mascarilla repara y revitaliza,Anian,Bote,350 ml,3.3,Dia,Higiene
Spray ondas surferas,Imaqe de Dia,Botella,200 ml,2.45,Dia,Higiene
Acondicionador suave y liso,Pantene,Tubo,180 ml,2.99,Dia,Higiene
Crema capilar nutri rizos sin aclarado,Fructis,Bote,400 ml,5.49,Dia,Higiene
Mascarilla cebolla y biotina,Anian,Bote,350 ml,3.3,Dia,Higiene
Crema suavizante repair 5 cabello dañado,Elvive,Bote,250 ml,3.29,Dia,Higiene
Acondicionador capilar karité,Vitarelle,Botella,400 ml,2.9,Dia,Higiene
Mascarilla oliva natural,Imaqe de Dia,Bote,300 ml,2.95,Dia,Higiene
Aceite oliva en crema sin aclarado cabello,Original Remedies,Bote,200 ml,3.89,Dia,Higiene
Aceite de argán capilar,Imaqe de Dia,Spray,100 ml,4.45,Dia,Higiene
Crema suavizante color vive cabello teñido,Elvive,Bote,250 ml,3.29,Dia,Higiene
Acondicionador adiós frizz miracles,Pantene,Tubo,160 ml,3.99,Dia,Higiene
Mascarilla capilar suave y liso,Tulipán Negro,Bote,400 ml,4.9,Dia,Higiene
Mascarilla capilar repara y protege,Tulipán Negro,Bote,400 ml,4.9,Dia,Higiene
Acondicionador bifásico instantáneo definición rizos,Anian,Spray,400 ml,3.6,Dia,Higiene
Crema capilar miel natural,Imaqe de Dia,Bote,200 ml,2.2,Dia,Higiene
Mascarilla aceite de argán,Ogx,Frasco,300 ml,8.99,Dia,Higiene
Crema sin aclarado magic flash,Revlon,Spray,200 ml,4.49,Dia,Higiene
Crema sin aclarado instant frizz control,Pantene,Frasco,70 ml,7.99,Dia,Higiene
Mascarilla repara y protege cabello dañado pack,Pantene,Frasco,600 ml,8.49,Dia,Higiene
Mascarilla reparadora con aceite argán,Herbal Essences,Frasco,450 ml,7.99,Dia,Higiene
Mascarilla intensiva protector de color,Babaria,Bote,400 ml,3.55,Dia,Higiene
Acondicionador tesoros de miel,Original Remedies,Bote,250 ml,3.35,Dia,Higiene
Mascarilla hair food papaya reparadora,Fructis,Frasco,390 ml,6.49,Dia,Higiene
Mascarilla hair food banana ultra nutritiva,Fructis,Frasco,390 ml,6.49,Dia,Higiene
Mascarilla capilar dream long,Elvive,Bote,300 ml,4.79,Dia,Higiene
Ampollas liso extremo 1 min,Pantene,Caja,3 unidades,4.99,Dia,Higiene
Acondicionador repara y protege 3 min,Pantene,Tubo,200 ml,3.99,Dia,Higiene
Polvo texturizante y volumen,Got2b,Frasco,10 g,5.99,Dia,Higiene
Pasta mate fijadora beach boy,Got2b,Frasco,100 ml,4.95,Dia,Higiene
Mascarilla adiós daños repara y fortifica,Fructis,Frasco,320 ml,4.79,Dia,Higiene
Mascarilla hidra rizos cabello rizo u ondulado,Fructis,Frasco,320 ml,4.79,Dia,Higiene
Mascarilla délicatesse todo tipo de cabello,Original Remedies,Frasco,300 ml,4.69,Dia,Higiene
Mascarilla oliva mítica,Original Remedies,Frasco,300 ml,4.69,Dia,Higiene
Mascarilla tesoros de miel,Original Remedies,Frasco,300 ml,4.69,Dia,Higiene
Serum antiencrespamiento extrafuerte,Frizz ease,Bote,50 ml,12.99,Dia,Higiene
Aceite seco repara y protege nutre las puntas,Pantene,Frasco,100 ml,7.95,Dia,Higiene
Ampollas rescate 1 min tratamiento intensivo,Pantene,Caja,3 unidades,4.75,Dia,Higiene
Mascarilla reconstructora rizos definidos,Pantene,Frasco,300 ml,4.29,Dia,Higiene
Aceite extraordinario,Elvive,Bote,100 ml,9.99,Dia,Higiene
Serum intensivo repara y protege cabello dañado,Pantene,Spray,75 ml,6.95,Dia,Higiene
Mascarilla capilar total repair,Elvive,Frasco,310 ml,4.5,Dia,Higiene
Mascarilla capilar color vive,Elvive,Frasco,310 ml,4.5,Dia,Higiene
Huevos frescos categoría A clase L,Huevos Garrido,Caja,12 unidades,2.26,Dia,Huevos
Huevos frescos categoría A clase M,Huevos Garrido,Caja,12 unidades,2.02,Dia,Huevos
Huevos frescos categoría A clase XL,Huevos Garrido,Caja,6 unidades,1.69,Dia,Huevos
Huevos frescos categoría A clase M,Huevos Garrido,Caja,24 unidades,3.8,Dia,Huevos
Huevos frescos categoría A clase L,Dia,Bandeja,12 unidades,2.26,Dia,Huevos
Huevos frescos categoría A clase M,La receta,Bandeja,24 unidades,3.8,Dia,Huevos
Huevos frescos categoría A clase M,Dia,Bandeja,12 unidades,2.02,Dia,Huevos
Huevos camperos categoría A clase M/L,La receta,Bandeja,10 unidades,2.49,Dia,Huevos
Huevos frescos de gallinas criadas en suelo categoría A clase M/L,La receta,Bandeja,12 unidades,2.49,Dia,Huevos
Huevos frescos maíz categoría A clase M/L,Grupo de lucas,Caja,12 unidades,2.85,Dia,Huevos
Huevos ecológicos categoría A clase M/L,La receta,Bandeja,6 unidades,2.49,Dia,Huevos
Huevos de codorniz,Grupo de lucas,Bandeja,12 unidades,1.54,Dia,Huevos
Claras de huevo pasteurizadas,Ovonatur,Botella,500 ml,1.95,Dia,Huevos
Mayonesa,Hacendado,Tarro,500 ml,1.25,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa,Hacendado,Tarro,240 ml,0.95,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa,Hacendado,Bote,460 ml,1.35,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa en sobres individuales,Hacendado,Sobres,12 sobres x 20 ml,1.25,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa,Hellmann's,Tarro,450 ml,3.25,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa,Hellmann's,Tarro,225 ml,1.95,Mercadona,"Aceite, vinagre, especias y salsas"
Salsa ligera,Ligeresa,Tarro,425 ml,2.25,Mercadona,"Aceite, vinagre, especias y salsas"
Salsa ligera,Ligeresa,Tarro,210 ml,1.35,Mercadona,"Aceite, vinagre, especias y salsas"
Salsa ligera,Ligeresa,Bote,430 ml,2.65,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa,Ybarra,Bote,500 ml,2.25,Mercadona,"Aceite, vinagre, especias y salsas"
Mayonesa,Musa,Tarro,540 ml,2.45,Mercadona,"Aceite, vinagre, especias y salsas"
Salsa ligera,Hacendado,Tarro,500 ml,1.2,Mercadona,"Aceite, vinagre, especias y salsas"
Salsa ligera,Hacendado,Bote,460 ml,1.25,Mercadona,"Aceite, vinagre, especias y salsas"
Ketchup,Hacendado,Bote,600 g,1.3,Mercadona,"Aceite, vinagre, especias y salsas"
Ketchup  en sobres individuales,Hacendado,Paquete,12 sobres (240 g),1.4,Mercadona,"Aceite, vinagre, especias y salsas"
Ketchup,Heinz,Bote,650 g,3.5,Mercadona,"Aceite, vinagre, especias y salsas"
Ketchup zero azúcares añadidos,Hacendado,Bote,600 g,1.6,Mercadona,"Aceite, vinagre, especias y salsas"
Mostaza a la antigua,Hacendado,Tarro,200 g,1.7,Mercadona,"Aceite, vinagre, especias y salsas"
Mostaza de Dijon,Hacendado,Tarro,200 g,1.25,Mercadona,"Aceite, vinagre, especias y salsas"
Mostaza clásica,Hacendado,Bote,388 g,1.35,Mercadona,"Aceite, vinagre, especias y salsas"
Allioli,Chovi,Tarrina,180 ml,1.35,Mercadona,"Aceite, vinagre, especias y salsas"
Allioli,Hacendado,Tarrina,200 ml,1.1,Mercadona,"Aceite, vinagre, especias y salsas"
Allioli en sobres individuales,Hacendado,Paquete,8 sobres (160 ml),1.5,Mercadona,"Aceite, vinagre, especias y salsas"
Aceitunas manzanilla rellenas de anchoa,Hacendado,Bote,3 botes x 150 g,3.0,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla rellenas de anchoa,Hacendado,Bote,3 botes x 50 g,1.6,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla rellenas de anchoa,Hacendado,Bote,350 g (150 g escurrido),1.0,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla  sin hueso,Hacendado,Tarro,835 g (400 g escurrido),2.6,Mercadona,"Conservas, caldos y cremas"
Aceitunas rellenas de anchoa  reducido en sal,Hacendado,Bote,350 g (150 g escurrido),1.4,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla rellenas de anchoa  reducidas en sal,Hacendado,Bote,3 botes x 50 g,1.8,Mercadona,"Conservas, caldos y cremas"
Aceitunas chupadedos  partidas aliñadas con hueso,Huerta de Barros,Tarro,980 g (600 g escurrido),3.3,Mercadona,"Conservas, caldos y cremas"
Aceitunas gazpacha  con hueso,Hacendado,Tarro,835 g (500 g escurrido),2.5,Mercadona,"Conservas, caldos y cremas"
Aceitunas rellenas de anchoa,Hacendado,Bote,350 g (150 g escurrido),1.65,Mercadona,"Conservas, caldos y cremas"
Aceitunas rellenas de anchoa,Hacendado,Bote,"1,46 kg (600 g escurrido)",3.95,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla  sin hueso,Hacendado,Paquete,3 paquetes x 75 g,1.65,Mercadona,"Conservas, caldos y cremas"
Aceitunas estilo caseras  aliñadas,Hacendado,Tarro,935 g (550 g escurrido),2.9,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla aliñadas  sin hueso,Hacendado,Tarro,420 g (200 g escurrido),1.85,Mercadona,"Conservas, caldos y cremas"
Aceitunas chupadedos  partidas aliñadas con hueso,Huerta de Barros,Tarro,350 g (185 g escurrido),1.7,Mercadona,"Conservas, caldos y cremas"
Aceitunas rellenas de jalapeño,Hacendado,Bote,350 g (150 g escurrido),1.65,Mercadona,"Conservas, caldos y cremas"
Aceitunas rellenas de pimiento asado,Hacendado,Bote,350 g (150 g escurrido),1.65,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla sabor anchoa  con hueso,Hacendado,Tarro,430 g (250 g escurrido),1.5,Mercadona,"Conservas, caldos y cremas"
Aceitunas aliñadas  sin hueso,Hacendado,Tarro,835 g (400 g escurrido),3.25,Mercadona,"Conservas, caldos y cremas"
Aceitunas aloreña al natural  partida con hueso,Dcoop,Bote,"1,23 kg (700 g escurrido)",3.95,Mercadona,"Conservas, caldos y cremas"
Aceitunas verdes rellenas de boquerón  en vinagre,Hacendado,Bote,350 g (150 g escurrido),1.75,Mercadona,"Conservas, caldos y cremas"
Aceitunas manzanilla sabor anchoa  con hueso,Hacendado,Tarro,935 g (530 g escurrido),2.8,Mercadona,"Conservas, caldos y cremas"
Aceitunas negras  sin hueso,Hacendado,Bote,350 g (150 g escurrido),1.1,Mercadona,"Conservas, caldos y cremas"
Aceitunas negras naturales Cuquillo  con hueso,Hacendado,Tarro,170 g (160 g escurrido),1.8,Mercadona,"Conservas, caldos y cremas"
Aceitunas negras  a rodajas,Hacendado,Bote,3 botes x 50 g,2.15,Mercadona,"Conservas, caldos y cremas"
Aceitunas negras  sin hueso,Hacendado,Bote,3 botes x 50 g,2.0,Mercadona,"Conservas, caldos y cremas"
Banderillas dulces  en vinagre,Hacendado,Tarro,345 g (160 g escurrido),1.6,Mercadona,"Conservas, caldos y cremas"
Mix de encurtidos,Hacendado,Tarro,670 g (370 g escurrido),2.6,Mercadona,"Conservas, caldos y cremas"
Altramuces,Hacendado,Tarro,690 g (440 g escurrido),1.75,Mercadona,"Conservas, caldos y cremas"
Alcaparras  en vinagre,Hacendado,Tarro,135 g (80 g escurrido),1.3,Mercadona,"Conservas, caldos y cremas"
Pepinillos agridulces,Convite,Tarro,350 g (190 g escurrido),1.3,Mercadona,"Conservas, caldos y cremas"
Picadillo de variantes,Hacendado,Tarro,420 g (250 g escurrido),2.0,Mercadona,"Conservas, caldos y cremas"
Pepinillos laminados agridulces,Hacendado,Tarro,530 g (290 g escurrido),1.8,Mercadona,"Conservas, caldos y cremas"
Cebollitas,Hacendado,Tarro,350 g (190 g escurrido),1.6,Mercadona,"Conservas, caldos y cremas"
Guindillas picantes,Hacendado,Tarro,285 g (125 g escurrido),1.35,Mercadona,"Conservas, caldos y cremas"
Ajos aliñados,Hacendado,Tarro,345 g (235 g escurrido),2.6,Mercadona,"Conservas, caldos y cremas"
Alcaparrones  en vinagre,Hacendado,Tarro,360 g (180 g escurrido),2.5,Mercadona,"Conservas, caldos y cremas"
Berenjenas de Almagro  aliño suave,Antonio,Bote,800 g (350 g escurrido),2.89,Mercadona,"Conservas, caldos y cremas"
Jalapeños picantes  en vinagre,Hacendado,Tarro,135 g (60 g escurrido),1.65,Mercadona,"Conservas, caldos y cremas"
Mix de pepinillos y cebollitas,Hacendado,Tarro,670 g (370 g escurrido),1.9,Mercadona,"Conservas, caldos y cremas"
Pepinillos agridulces,Hacendado,Tarro,670 g (360 g escurrido),1.4,Mercadona,"Conservas, caldos y cremas"
Pepinillos en vinagre,Olispania,Tarro,300 g (150 g escurrido),1.3,Mercadona,"Conservas, caldos y cremas"
Refresco  limón,Fanta,Botella,2 L,1.79,Mercadona,Refrescos
Refresco  limón,Fanta,Lata,9 latas x 330 ml,5.76,Mercadona,Refrescos
Refresco  limón,Fanta,Lata,330 ml,0.66,Mercadona,Refrescos
Refresco  limón zero azúcares añadidos,Fanta,Lata,330 ml,0.75,Mercadona,Refrescos
Refresco de limón  fresh gas,Hacendado,Botella,2 L,0.92,Mercadona,Refrescos
Refresco de limón  fresh gas,Hacendado,Lata,6 latas x 330 ml,2.1,Mercadona,Refrescos
Refresco de limón  fresh gas,Hacendado,Lata,330 ml,0.35,Mercadona,Refrescos
Refresco de limón  zero azúcar fresh gas,Hacendado,Botella,2 L,0.92,Mercadona,Refrescos
Refresco de limón  zero azúcar fresh gas,Hacendado,Lata,6 latas x 330 ml,2.1,Mercadona,Refrescos
Refresco de limón  zero azúcar fresh gas,Hacendado,Lata,330 ml,0.35,Mercadona,Refrescos
Refresco limón,Schweppes original,Lata,8 latas x 330 ml,7.52,Mercadona,Refrescos
Refresco limón,Schweppes original,Lata,330 ml,0.95,Mercadona,Refrescos
Refresco lima limón  zero azúcar,7 Up,Botella,2 L,1.59,Mercadona,Refrescos
Refresco lima limón  zero azúcar,7 Up,Lata,9 latas x 330 ml,4.95,Mercadona,Refrescos
Refresco lima limón  zero azúcar,7 Up,Lata,330 ml,0.59,Mercadona,Refrescos
Refresco lima limón  fresh gas,Hacendado,Botella,2 L,0.92,Mercadona,Refrescos
Refresco lima limón  fresh gas,Hacendado,Lata,6 latas x 330 ml,2.1,Mercadona,Refrescos
Refresco lima limón  fresh gas,Hacendado,Lata,330 ml,0.35,Mercadona,Refrescos
Refresco lima limón  zero azúcar fresh gas,Hacendado,Botella,2 L,0.92,Mercadona,Refrescos
Refresco  naranja,Fanta,Botella,2 botellas x 2 L,3.5,Mercadona,Refrescos
Refresco  naranja,Fanta,Botella,2 L,1.79,Mercadona,Refrescos
Refresco  naranja,Fanta,Lata,9 latas x 330 ml,5.76,Mercadona,Refrescos
Refresco  naranja,Fanta,Lata,330 ml,0.66,Mercadona,Refrescos
Refresco  naranja zero azúcares añadidos,Fanta,Botella,2 L,1.79,Mercadona,Refrescos
Refresco  naranja zero azúcares añadidos,Fanta,Lata,330 ml,0.75,Mercadona,Refrescos
Refresco de naranja  fresh gas,Hacendado,Botella,2 L,0.92,Mercadona,Refrescos
Refresco de naranja  fresh gas,Hacendado,Lata,6 latas x 330 ml,2.1,Mercadona,Refrescos
Refresco de naranja  fresh gas,Hacendado,Lata,330 ml,0.35,Mercadona,Refrescos
Refresco de naranja  zero fresh gas,Hacendado,Botella,2 L,0.92,Mercadona,Refrescos
Refresco de naranja  zero fresh gas,Hacendado,Lata,6 latas x 330 ml,2.1,Mercadona,Refrescos
Refresco de naranja  zero fresh gas,Hacendado,Lata,330 ml,0.35,Mercadona,Refrescos
Garbanzo cocido,Hacendado,Tarro,570 g (400 g escurrido),0.71,Mercadona,"Conservas, caldos y cremas"
Garbanzo cocido,Hacendado,Tarro,295 g (210 g escurrido),0.65,Mercadona,"Conservas, caldos y cremas"
Garbanzo,Hacendado,Paquete,1 kg,2.15,Mercadona,Arroz legumbres y pasta
Garbanzo pedrosillano,Hacendado,Paquete,1 kg,1.95,Mercadona,Arroz legumbres y pasta
Garbanzo lechoso andaluz,Hacendado,Paquete,1 kg,2.65,Mercadona,Arroz legumbres y pasta
Garbanzo cocido lechoso andaluz,Hacendado,Tarro,570 g (400 g escurrido),1.15,Mercadona,"Conservas, caldos y cremas"
Alubia cocida blanca,Hacendado,Tarro,570 g (400 g escurrido),0.7,Mercadona,"Conservas, caldos y cremas"
Alubia cocida blanca,Hacendado,Tarro,295 g (210 g escurrido),0.65,Mercadona,"Conservas, caldos y cremas"
Alubia cocida roja,Hacendado,Tarro,570 g (400 g escurrido),1.1,Mercadona,"Conservas, caldos y cremas"
Alubia cocida pinta,Hacendado,Tarro,570 g (400 g escurrido),1.15,Mercadona,"Conservas, caldos y cremas"
Alubia blanca,Hacendado,Paquete,1 kg,2.0,Mercadona,Arroz legumbres y pasta
Alubia negra,Hacendado,Paquete,1 kg,2.4,Mercadona,Arroz legumbres y pasta
Alubia roja,Hacendado,Paquete,1 kg,2.65,Mercadona,Arroz legumbres y pasta
Alubia cocida granja,Hacendado,Tarro,570 g (350 g escurrido),1.65,Mercadona,"Conservas, caldos y cremas"
Alubia pinta,Hacendado,Paquete,1 kg,2.3,Mercadona,Arroz legumbres y pasta
Alubia granja,Hacendado,Paquete,500 g,3.1,Mercadona,Arroz legumbres y pasta
Lenteja pardina,Hacendado,Paquete,1 kg,2.1,Mercadona,Arroz legumbres y pasta
Lenteja cocida,Hacendado,Tarro,570 g (400 g escurrido),0.8,Mercadona,"Conservas, caldos y cremas"
Lenteja cocida,Hacendado,Tarro,295 g (210 g escurrido),0.7,Mercadona,"Conservas, caldos y cremas"
Soja texturizada grano fino,Hacendado,Paquete,250 g,2.25,Mercadona,Arroz legumbres y pasta
Lenteja,Hacendado,Paquete,1 kg,1.95,Mercadona,Arroz legumbres y pasta
Melva en aceite de oliva,Mari Marinera,Lata,85 g,2.15,Dia,"Conservas, caldos y cremas"
Trozos de calamar en salsa americana,Lamberti,Lata,3 x 51 g,2.0,Dia,"Conservas, caldos y cremas"
Trozos de calamar en su tinta,Lamberti,Lata,3 x 51 g,2.0,Dia,"Conservas, caldos y cremas"
Zamburiña en salsa vieira,Galica,Lata,63 g,2.2,Dia,"Conservas, caldos y cremas"
Almejón natural,Galica,Lata,63 g,1.45,Dia,"Conservas, caldos y cremas"
Tacos de potón al ajillo,Mari Marinera,Lata,72 g,1.29,Dia,"Conservas, caldos y cremas"
Calamares en su tinta,Albo,Lata,72 g,2.59,Dia,"Conservas, caldos y cremas"
Ensalada mediterránea de atún,Al Punto,Lata,150 g,1.25,Dia,"Conservas, caldos y cremas"
Maravillas de mar al ajillo,Mari Marinera,Lata,50 g,1.45,Dia,"Conservas, caldos y cremas"
Chipirones rellenos en salsa americana,Lamberti,Lata,72 g,2.45,Dia,"Conservas, caldos y cremas"
Trozos de calamares en salsa americana,Albo,Lata,72 g,2.59,Dia,"Conservas, caldos y cremas"
Ensalada milanesa de atún,Al Punto,Lata,150 g,1.25,Dia,"Conservas, caldos y cremas"
Almejas al natural,Dani,Lata,63 g,2.45,Dia,"Conservas, caldos y cremas"
Chipirones rellenos en su tinta,Lamberti,Lata,72 g,2.45,Dia,"Conservas, caldos y cremas"
Almejas blancas del norte al natural,Dani,Lata,90 g,2.29,Dia,"Conservas, caldos y cremas"
Navajuelas al natural,Mari Marinera,Lata,63 g,2.3,Dia,"Conservas, caldos y cremas"
Tacos de potón en salsa marinera,Mari Marinera,Lata,72 g,1.29,Dia,"Conservas, caldos y cremas"
Calamar en su tinta,Calvo,Lata,3 x 48 g,2.95,Dia,"Conservas, caldos y cremas"
Ensalada de pasta,Al Punto,Lata,160 g,1.79,Dia,"Conservas, caldos y cremas"
Ensaladilla rusa,Al Punto,Lata,160 g,1.89,Dia,"Conservas, caldos y cremas"
Calamares en salsa americana,Cabo de Peñas,Lata,3 x 59 g,2.49,Dia,"Conservas, caldos y cremas"
Salmón al natural,Dani,Lata,3 x 50 g,3.25,Dia,"Conservas, caldos y cremas"
Concha fina al natural,Ubago,Lata,55 g,2.39,Dia,"Conservas, caldos y cremas"
Navajuelas al natural,Dani,Lata,63 g,2.95,Dia,"Conservas, caldos y cremas"
Navajas al natural,Cabo de Hornos,Lata,63 g,2.59,Dia,"Conservas, caldos y cremas"
Melva en aceite de oliva,Ubago,Lata,85 g,2.85,Dia,"Conservas, caldos y cremas"
Melva en aceite de girasol,Ubago,Lata,85 g,2.59,Dia,"Conservas, caldos y cremas"
Nata para cocinar culinaria ,Dia láctea,Brik,3 x 200 ml,1.85,Dia,Leche y yogures
Leche evaporada sin lactosa,Ideal,Brik,525 g,2.79,Dia,Leche y yogures
Nata para cocinar,Dia Láctea,Brik,  500 ml,1.45,Dia,Leche y yogures
Leche evaporada,Ideal,Brik,525 g,2.29,Dia,Leche y yogures
Nata para montar ,Dia láctea,Brik,3 x 200 ml,2.19,Dia,Leche y yogures
Nata en   bote,Dia Láctea,Spray,250 g,1.69,Dia,Leche y yogures
Nata para cocinar,Central Lechera Asturiana,Brik,500 ml,2.75,Dia,Leche y yogures
Nata montada azucarada,Central Lechera Asturiana,Spray,250 g,2.75,Dia,Leche y yogures
Leche evaporada,Ideal,Brik,525 g,2.29,Dia,Leche y yogures
Nata para montar,Central Lechera Asturiana,Brik,500 ml,2.75,Dia,Leche y yogures
Nata para cocinar,Puleva,Brik,200 ml,1.66,Dia,Leche y yogures
Leche evaporada sin lactosa,Ideal,Brik,525 g,2.79,Dia,Leche y yogures
Nata para montar,Central Lechera Asturiana,Brik,1 l,4.75,Dia,Leche y yogures
Golosinas Xuxes Top Ten,Hacendado,Paquete,20 ud. (135 g),1.25,Mercadona,"Miel, caramelos y chocolate"
Golosinas Moras,Hacendado,Paquete,200 g,1.1,Mercadona,"Miel, caramelos y chocolate"
Golosinas Fruit Mix,Hacendado,Paquete,250 g,1.1,Mercadona,"Miel, caramelos y chocolate"
Golosinas Nubi Mallow,Hacendado,Paquete,150 g,0.95,Mercadona,"Miel, caramelos y chocolate"
Caramelo Pikotas masticable,Dulciora,Paquete,100 g,1.45,Mercadona,"Miel, caramelos y chocolate"
Golosinas tubos de fresa  rellenos,Hacendado,Caja,320 g,1.75,Mercadona,"Miel, caramelos y chocolate"
Golosinas Boca Fruit,Hacendado,Paquete,200 g,1.2,Mercadona,"Miel, caramelos y chocolate"
Grageas de regaliz,Hacendado,Paquete,150 g,1.45,Mercadona,"Miel, caramelos y chocolate"
Golosinas Pulpis Mix con pica,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Surtido de caramelos Diver Xuxes,Hacendado,Paquete,300 g,2.15,Mercadona,"Miel, caramelos y chocolate"
Golosinas Rega Relli  rellena con zumo de fruta,Hacendado,Paquete,150 g,1.0,Mercadona,"Miel, caramelos y chocolate"
Golosinas Dentaduras,Hacendado,Paquete,100 g,1.15,Mercadona,"Miel, caramelos y chocolate"
Golosinas Mix,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Golosinas Rega Black Mix,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Golosinas Fresi Pink Mix,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Golosinas ladrillos con pica  sabor fresa y nata ácida,Hacendado,Paquete,200 g,1.1,Mercadona,"Miel, caramelos y chocolate"
Golosinas Cintas de fresa con pica,Hacendado,Caja,300 g,1.75,Mercadona,"Miel, caramelos y chocolate"
Golosinas Mix azúcar,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
"Golosinas Rega Red Mix  sabor fresa, nata y tutti frutti",Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Golosinas Mix con pica,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Surtido de caramelos Ácidos pintalenguas  sabor frambuesa y cola,Hacendado,Paquete,200 g,1.85,Mercadona,"Miel, caramelos y chocolate"
Golosinas Rega Fruit Mix,Hacendado,Paquete,300 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Cono de golosinas celebración,Hacendado,Paquete,"84,3 g",1.25,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro 85% cacao,Hacendado,Tableta,100 g,1.25,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro fundir,Hacendado,Tableta,200 g,1.45,Mercadona,"Miel, caramelos y chocolate"
Porciones de Chocolate negro 72% cacao extrafino,Hacendado,Paquete,200 g,2.35,Mercadona,"Miel, caramelos y chocolate"
Chocolate 70% negro  0% azúcares añadidos,Valor,Tableta,100 g,2.0,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro 72% de cacao  con pepitas de cacao caramelizadas,Hacendado,Tableta,100 g,1.45,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro 72% de cacao,Hacendado,Tableta,100 g,1.05,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro 55% cacao  con almendras,Hacendado,Tableta,200 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Chocolate puro,Valor,Tableta,300 g,3.8,Mercadona,"Miel, caramelos y chocolate"
Chocolate puro  con almendras enteras,Valor,Tableta,250 g,3.45,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro relleno de mousse,Hacendado,Tableta,140 g,1.85,Mercadona,"Miel, caramelos y chocolate"
Chocolate puro  con almendras enteras,Valor,Tableta,150 g,3.25,Mercadona,"Miel, caramelos y chocolate"
Chocolatinas de chocolate negro  49% rellenas de crema sabor a menta,Royal Mints,Caja,200 g,1.6,Mercadona,"Miel, caramelos y chocolate"
Gotas de chocolate negro para fundir,Hacendado,Paquete,250 g,2.0,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro 72% de cacao  con almendras enteras,Hacendado,Tableta,200 g,2.15,Mercadona,"Miel, caramelos y chocolate"
Porciones de Chocolate negro 85% cacao extrafino,Hacendado,Paquete,200 g,2.65,Mercadona,"Miel, caramelos y chocolate"
Chocolate negro 72% cacao  con trozos de naranja,Hacendado,Tableta,100 g,1.4,Mercadona,"Miel, caramelos y chocolate"
