producto,marca,formato,cantidad,precio,supermercado,categoria
Cereales rellenos de cacao y avellana,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas
Cereales copos de maíz tostados  Frosties,Kellogg's,Caja,400 g,3.99,Dia,Cereales y galletas
Cereales de bolas con chocolate,Gran Dia,Caja,500 g,2.15,Dia,Cereales y galletas
Barritas de cereales con chocolate nesquik,Nestlé,Caja,150 g,2.99,Dia,Cereales y galletas
Cereales integrales con chocolate negro  Fitness,Nestlé,Caja,375 g,3.49,Dia,Cereales y galletas
Barritas de cereales con chocolate con leche,Corny,Caja,150 g,2.49,Dia,Cereales y galletas
Cereales de trigo y maíz tostados con pepitas al cacao  Cookie Crisp,Nestlé,Caja,375 g,3.59,Dia,Cereales y galletas
"Cereales copos de arroz, trigo integral y cebada",Gran Dia,Caja,500 g,2.09,Dia,Cereales y galletas
Cereales copos de trigo integral y arroz con virutas de chocolate con leche  Special K,Kellogg's,Caja,335 g,3.45,Dia,Cereales y galletas
Barritas de cereales con chocolate negro  Special K,Kellogg's,Caja,129 g,3.7,Dia,Cereales y galletas
Cereales integrales con chocolate nesquik,Nesquik,Caja,375 g,3.69,Dia,Cereales y galletas
Cereales copos de trigo integral fibre flakes,Gran Dia,Caja,375 g,1.79,Dia,Cereales y galletas
Barritas de cereales chocolateadas  Choco Krispies,Kellogg's,Caja,120 g,3.35,Dia,Cereales y galletas
Barritas de cereales con avellanas,Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas
"Barritas de cereales con albaricoque, manzana y uvas pasas",Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas
Cereales integrales con chocolate  Fitness,Nestlé,Caja,375 g,3.49,Dia,Cereales y galletas
Cereales con frutas rojas  Special K,Kellogg's,Caja,300 g,4.19,Dia,Cereales y galletas
Cereales de copos de maíz con azúcar,Gran Dia,Caja,500 g,2.05,Dia,Cereales y galletas
Muesli crujiente con frutas,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas
Muesli con frutas,Gran Dia,Bolsa,1 Kg,2.3,Dia,Cereales y galletas
Cereales de bolas de maíz con miel,Gran Dia,Caja,500 g,2.35,Dia,Cereales y galletas
Cereales copos de trigo con fruta y fibra,Gran Dia,Caja,500 g,2.55,Dia,Cereales y galletas
Barritas de cereales de bizcochitos con fruta y fibra  All-Bran,Kellogg's,Caja,240 g,3.99,Dia,Cereales y galletas
Surtido sushi  grande,Bento,Bandeja,310 g,10.75,Mercadona,Marisco y pescado
Surtido sushi  pequeño,Bento,Bandeja,160 g,6.75,Mercadona,Marisco y pescado
Surtido sushi  mix,Bento,Bandeja,350 g,8.75,Mercadona,Marisco y pescado
Noodles Yakisoba con carne y verduras,Hacendado,Bol,300 g,4.5,Mercadona,Marisco y pescado
Poke salmón,Hacendado,Bol,400 g,5.5,Mercadona,Marisco y pescado
Pollo teriyaki,Hacendado,Bol,300 g,5.0,Mercadona,Marisco y pescado
Limones,Dia,Malla,750 g,1.29,Dia,Fruta y verduras
Limón,Dia,Selección,1 unidad,0.49,Dia,Fruta y verduras
Limón bio,Dia,Malla,500 g,0.99,Dia,Fruta y verduras
Pomelo,Dia,Selección,1 unidad,0.59,Dia,Fruta y verduras
Vino tinto,Castillo de Velasco,Brik,1 l,1.05,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Valdepeñas,Viña Albalí,Botella,75 cl,2.95,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Castilla La Mancha,Ribera de Algodor,Botella,75 cl,1.65,Dia,Bebidas con alcohol
Vino tinto  garrafa,Castillo de Velasco,Frasco,2 l,2.6,Dia,Bebidas con alcohol
Vino tinto joven D.O. La Mancha,Ribera de Algodor,Botella,75 cl,1.45,Dia,Bebidas con alcohol
Vino tinto roble D.O. Toro,Campo curero,Botella,75 cl,2.99,Dia,Bebidas con alcohol
Vino tinto roble D.O. Ribera del Duero,Arco del Sol,Botella,75 cl,3.65,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Cvne,Botella,75 cl,6.95,Dia,Bebidas con alcohol
Vino tinto roble D.O.  Altos de Tamarón,Ribera del Duero,Botella,75 cl,6.4,Dia,Bebidas con alcohol
Vino tinto,Carta de plata,Botella,75 cl,3.59,Dia,Bebidas con alcohol
Vino tinto,Castillo de Velasco,Botella,75 cl,1.29,Dia,Bebidas con alcohol
Vino tinto  garrafa,Valle rojo,Frasco,5 l,5.2,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Valdepeñas,Viña Albalí,Botella,75 cl,3.69,Dia,Bebidas con alcohol
