producto,marca,formato,cantidad,precio,supermercado,categoría,id_producto
Barritas de cereales con chocolate con leche,Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas,95
Cereales de arroz inflado con chocolate,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas,96
Cereales copos de arroz y trigo integral con frutos rojos,Gran Dia,Caja,300 g,1.88,Dia,Cereales y galletas,97
Barritas de cereales plátano y chocolate con leche,Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas,98
Cereales rellenos de cacao y avellana,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas,99
Cereales copos de maíz tostados  Frosties,Kellogg's,Caja,400 g,3.99,Dia,Cereales y galletas,100
Cereales de bolas con chocolate,Gran Dia,Caja,500 g,2.15,Dia,Cereales y galletas,101
Barritas de cereales con chocolate nesquik,Nestlé,Caja,150 g,2.99,Dia,Cereales y galletas,102
Cereales integrales con chocolate negro  Fitness,Nestlé,Caja,375 g,3.49,Dia,Cereales y galletas,103
Barritas de cereales con chocolate con leche,Corny,Caja,150 g,2.49,Dia,Cereales y galletas,104
Cereales de trigo y maíz tostados con pepitas al cacao  Cookie Crisp,Nestlé,Caja,375 g,3.59,Dia,Cereales y galletas,105
"Cereales copos de arroz, trigo integral y cebada",Gran Dia,Caja,500 g,2.09,Dia,Cereales y galletas,106
Cereales copos de trigo integral y arroz con virutas de chocolate con leche  Special K,Kellogg's,Caja,335 g,3.45,Dia,Cereales y galletas,107
Barritas de cereales con chocolate negro  Special K,Kellogg's,Caja,129 g,3.7,Dia,Cereales y galletas,108
Cereales integrales con chocolate nesquik,Nesquik,Caja,375 g,3.69,Dia,Cereales y galletas,109
Cereales copos de trigo integral fibre flakes,Gran Dia,Caja,375 g,1.79,Dia,Cereales y galletas,110
Barritas de cereales chocolateadas  Choco Krispies,Kellogg's,Caja,120 g,3.35,Dia,Cereales y galletas,111
Barritas de cereales con avellanas,Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas,112
"Barritas de cereales con albaricoque, manzana y uvas pasas",Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas,113
Cereales integrales con chocolate  Fitness,Nestlé,Caja,375 g,3.49,Dia,Cereales y galletas,114
Cereales con frutas rojas  Special K,Kellogg's,Caja,300 g,4.19,Dia,Cereales y galletas,115
Cereales de copos de maíz con azúcar,Gran Dia,Caja,500 g,2.05,Dia,Cereales y galletas,116
Muesli crujiente con frutas,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas,117
Muesli con frutas,Gran Dia,Bolsa,1 Kg,2.3,Dia,Cereales y galletas,118
Cereales de bolas de maíz con miel,Gran Dia,Caja,500 g,2.35,Dia,Cereales y galletas,119
Cereales copos de trigo con fruta y fibra,Gran Dia,Caja,500 g,2.55,Dia,Cereales y galletas,120
Barritas de cereales de bizcochitos con fruta y fibra  All-Bran,Kellogg's,Caja,240 g,3.99,Dia,Cereales y galletas,121
Surtido sushi  grande,Bento,Bandeja,310 g,10.75,Mercadona,Marisco y pescado,122
Surtido sushi  pequeño,Bento,Bandeja,160 g,6.75,Mercadona,Marisco y pescado,123
Surtido sushi  mix,Bento,Bandeja,350 g,8.75,Mercadona,Marisco y pescado,124
Noodles Yakisoba con carne y verduras,Hacendado,Bol,300 g,4.5,Mercadona,Marisco y pescado,125
Poke salmón,Hacendado,Bol,400 g,5.5,Mercadona,Marisco y pescado,126
Pollo teriyaki,Hacendado,Bol,300 g,5.0,Mercadona,Marisco y pescado,127
Limones,Dia,Malla,750 g,1.29,Dia,Fruta y verduras,128
Limón,Dia,Selección,1 unidad,0.49,Dia,Fruta y verduras,129
Limón bio,Dia,Malla,500 g,0.99,Dia,Fruta y verduras,130
Pomelo,Dia,Selección,1 unidad,0.59,Dia,Fruta y verduras,131
Vino tinto,Castillo de Velasco,Brik,1 l,1.05,Dia,Bebidas con alcohol,132
Vino tinto crianza D.O. Valdepeñas,Viña Albalí,Botella,75 cl,2.95,Dia,Bebidas con alcohol,133
Vino tinto crianza D.O. Castilla La Mancha,Ribera de Algodor,Botella,75 cl,1.65,Dia,Bebidas con alcohol,134
Vino tinto  garrafa,Castillo de Velasco,Frasco,2 l,2.6,Dia,Bebidas con alcohol,135
Vino tinto joven D.O. La Mancha,Ribera de Algodor,Botella,75 cl,1.45,Dia,Bebidas con alcohol,136
Vino tinto roble D.O. Toro,Campo curero,Botella,75 cl,2.99,Dia,Bebidas con alcohol,137
Vino tinto roble D.O. Ribera del Duero,Arco del Sol,Botella,75 cl,3.65,Dia,Bebidas con alcohol,138
Vino tinto crianza D.O. Rioja,Cvne,Botella,75 cl,6.95,Dia,Bebidas con alcohol,139
Vino tinto roble D.O.  Altos de Tamarón,Ribera del Duero,Botella,75 cl,6.4,Dia,Bebidas con alcohol,140
Vino tinto,Carta de plata,Botella,75 cl,3.59,Dia,Bebidas con alcohol,141
Vino tinto,Castillo de Velasco,Botella,75 cl,1.29,Dia,Bebidas con alcohol,142
Vino tinto  garrafa,Valle rojo,Frasco,5 l,5.2,Dia,Bebidas con alcohol,143
Vino tinto reserva D.O. Valdepeñas,Viña Albalí,Botella,75 cl,3.69,Dia,Bebidas con alcohol,144
Vino tinto joven D.O. Rioja  Rivero,Faustino,Botella,75 cl,3.99,Dia,Bebidas con alcohol,145
Vino tinto reserva  Rivero,Faustino,Botella,75 cl,2.09,Dia,Bebidas con alcohol,146
Vino tinto D.O. Rioja,Señorío de Ondas,Botella,75 cl,2.45,Dia,Bebidas con alcohol,147
Vino tinto crianza D.O. Rioja,Castillo de Haro,Botella,75 cl,4.19,Dia,Bebidas con alcohol,148
Vino tinto roble D.O. Ribera del Duero,Heredad baran,Botella,75 cl,4.95,Dia,Bebidas con alcohol,149
Vino tinto sirah,Señorío de Ayerbe,Botella,75 cl,2.85,Dia,Bebidas con alcohol,150
Vino tinto,Habla de la tierra,Botella,75 cl,8.25,Dia,Bebidas con alcohol,151
Vino tinto crianza D.O. Madrid,Puerta de Alcalá,Botella,75 cl,4.45,Dia,Bebidas con alcohol,152
Vino tinto gran reserva D.O. Valdepeñas,Viña Albalí,Botella,75 cl,4.49,Dia,Bebidas con alcohol,153
Vino tinto crianza D.O. Ribera del Duero,Altos del Tamarón,Botella,75 cl,7.45,Dia,Bebidas con alcohol,154
Vino tinto D.O.  Viña Mayor,Ribera del Duero,Botella,75 cl,7.75,Dia,Bebidas con alcohol,155
Vino tinto,Cumbre de Gredos,Brik,1 l,1.69,Dia,Bebidas con alcohol,156
Vino tinto D.O. Valdepeñas,Molinos,Botella,75 cl,2.35,Dia,Bebidas con alcohol,157
Vino tinto crianza D.O. Rioja,Lagunilla,Botella,75 cl,7.49,Dia,Bebidas con alcohol,158
Vino tinto D.O. Tempranillo Altos de Tamarón,Marca no encontrada,Botella,75 cl,2.99,Dia,Bebidas con alcohol,159
